Date,Close,High,Low,Open,Volume,Total Traded,Avg,Total Traded New,MA50,MA200,Return,Cumulative_Return,Rolling_Vol,Drawdown,Asset
2015-10-16,0.6770064830780029,0.6833245677768979,0.6670433272311146,0.6687443990578051,448396000,299862313.5599236,0.6751839475040062,302749781.32500637,0.5700745262329928,0.5258578209753064,0.015676146371744526,1.4016362379681395,0.017197963714322553,0.0,NVIDIA
2015-10-19,0.6757916212081909,0.6823527510334102,0.6680155639020244,0.6791937078371233,294712000,200166536.02409428,0.6751841574677173,198984873.4156259,0.572788440159128,0.5268387317957381,-0.0017944612055834641,1.3991210561147658,0.01628485066948181,-0.0017944612055835194,NVIDIA
2015-10-20,0.6748194694519043,0.6779785119374034,0.6677723702199108,0.6728754700468785,264824000,178193573.47969458,0.672875441078657,178193565.80821428,0.5752017570455472,0.5277880518801585,-0.0014385377471070049,1.3971083676627725,0.015014653778791734,-0.003230417552510573,NVIDIA
2015-10-21,0.666071355342865,0.6830816108275036,0.6648563702005009,0.6789505107087147,386280000,262265003.2765623,0.6739689905140023,260340741.65574878,0.5774413592572608,0.5288049387088277,-0.012963636209465945,1.3789967630391915,0.014640438177467322,-0.0161521758040211,NVIDIA
2015-10-22,0.6901286840438843,0.6923157269250597,0.6728755002562433,0.673847500002395,306884000,206793016.19073498,0.6825956135906515,209477672.28115347,0.5796514892187925,0.5298550978718777,0.03611824545229925,1.4288037066045671,0.015501991869613724,0.0,NVIDIA
2015-10-23,0.6947457790374756,0.69936285041028,0.6857546796890573,0.6962038076748294,381776000,265793904.87886566,0.6925587650496687,264402315.08560234,0.582081280284388,0.5310134386969911,0.006690194307729547,1.438362681029356,0.015478389520895494,0.0,NVIDIA
2015-10-26,0.6915867924690247,0.6969328785946866,0.685268706485002,0.6952318643584423,247436000,172025391.58939552,0.6911007925398442,171003215.7028889,0.5846126266657629,0.5320985355907084,-0.0045469676301271855,1.4318224924783325,0.015607152082907435,-0.0045469676301272315,NVIDIA
2015-10-27,0.6911007761955261,0.6954748042395887,0.6876986900096459,0.6881847188751854,208268000,143326855.0306971,0.6915867471246173,144035388.6501498,0.5870030326219208,0.5331411984464256,-0.0007027552850791263,1.4308162716544481,0.015667757326080518,-0.0052465275096732124,NVIDIA
2015-10-28,0.6966899037361145,0.6966899037361145,0.6852687169327769,0.6954748604422997,217036000,150943081.81095496,0.6909793103344457,149967385.59774676,0.5896274685261723,0.5342383079573657,0.008087282973919141,1.4423876877270057,0.015668259770267326,0.0,NVIDIA
2015-10-29,0.6726324558258057,0.6925587113050651,0.6714174706291087,0.6855116697040432,327168000,224277481.9537324,0.6819880909670869,223124679.74551988,0.5921352572868728,0.5353323910628724,-0.034531070109236284,1.3925804973574052,0.017426100823957704,-0.03453107010923627,NVIDIA
